sleep_hours,study_hours,break_minutes,phone_hours,stress_level,caffeine,previous_productivity,productivity
5.9,4.3,51,1.0,1,3,64,Medium
8.8,3.4,16,5.0,7,1,35,Low
7.7,2.2,20,2.5,8,0,97,Low
7.0,5.0,28,2.3,3,2,47,Medium
4.8,4.3,23,5.9,5,1,58,Low
4.8,1.4,12,1.6,1,2,88,Low
4.3,5.5,35,4.3,7,2,76,Low
8.3,5.0,25,5.0,5,0,46,Low
7.0,5.7,21,0.7,8,2,51,Medium
7.5,4.5,27,4.2,8,0,97,Low
4.1,3.9,41,5.7,9,0,98,Low
8.8,2.8,58,1.2,7,0,66,Medium
8.2,5.6,20,5.4,1,1,78,Medium
5.1,5.3,10,3.8,3,3,42,Low
4.9,0.7,12,3.9,8,1,63,Low
4.9,0.6,29,3.9,3,3,82,Low
5.5,2.6,22,2.1,8,3,80,Low
6.6,5.0,29,5.6,1,0,32,Low
6.2,5.9,16,5.7,5,2,71,Low
5.5,1.3,19,3.9,4,0,61,Low
7.1,3.8,30,4.8,5,2,80,Low
4.7,2.6,45,3.9,8,3,75,Low
5.5,5.8,49,3.2,10,0,50,Low
5.8,5.1,30,4.1,4,2,73,Medium
6.3,5.1,51,3.5,4,1,40,Medium
7.9,3.1,36,3.8,3,2,97,Medium
5.0,2.8,14,4.8,7,0,30,Low
6.6,2.0,20,3.1,3,1,92,Low
7.0,0.8,11,0.7,3,2,53,Low
4.2,5.3,21,1.4,10,2,42,Low
7.0,5.0,27,2.9,5,2,40,Medium
4.9,6.0,30,4.5,5,2,80,Low
4.3,6.0,25,3.8,6,2,46,Low
8.7,3.6,26,4.1,8,1,53,Low
8.8,4.7,11,3.1,10,3,48,Low
8.0,5.7,18,3.9,6,1,66,Medium
5.5,5.2,19,2.3,1,1,37,Medium
4.5,1.9,57,3.1,8,1,57,Low
7.4,3.0,11,4.6,8,3,34,Low
6.2,1.2,13,5.3,9,0,46,Low
4.6,5.7,55,2.9,9,3,65,Low
6.5,3.8,52,0.7,2,1,48,Medium
4.2,1.8,12,1.4,2,2,93,Low
8.5,4.2,54,0.6,3,2,40,Medium
5.3,3.9,27,4.1,1,1,83,Low
7.3,2.5,33,2.3,4,2,74,Medium
5.6,1.1,22,3.5,4,1,76,Low
6.6,4.2,35,3.2,9,2,41,Low
6.7,3.4,34,0.9,9,3,50,Low
4.9,4.7,56,2.7,9,0,40,Low
8.8,3.4,43,1.7,10,0,34,Low
7.9,5.2,39,2.8,7,3,85,Medium
8.7,3.5,22,1.6,2,3,49,Medium
8.5,3.6,46,5.1,10,1,70,Low
7.0,5.3,43,1.5,5,1,75,Medium
8.6,2.7,21,5.8,4,1,41,Low
4.4,1.2,18,2.8,8,2,99,Low
5.0,0.7,35,5.2,2,1,46,Low
4.2,4.7,28,4.0,6,3,48,Low
5.6,3.9,39,4.5,5,0,55,Low
5.9,4.4,48,4.7,2,2,77,Medium
5.4,1.7,49,3.3,10,1,81,Low
8.1,1.3,38,3.5,1,2,99,Medium
5.8,0.6,7,3.3,8,2,84,Low
5.4,2.4,41,3.7,2,1,62,Low
6.7,3.7,47,0.7,7,2,91,Medium
4.7,2.7,44,2.7,9,0,52,Low
8.0,2.9,30,3.8,9,3,44,Low
4.4,5.5,59,3.8,8,3,56,Low
8.9,2.4,27,4.9,10,0,93,Low
7.9,3.3,48,4.1,9,2,80,Low
5.0,4.8,43,6.0,2,1,82,Low
4.0,2.7,19,2.1,6,2,80,Low
8.1,3.9,60,2.5,4,0,76,Medium
7.5,5.2,53,2.6,4,2,33,Medium
7.6,5.7,8,3.1,5,3,36,Medium
7.9,1.3,33,5.1,3,2,64,Low
4.4,5.6,26,1.8,1,0,77,Medium
5.8,3.2,29,4.8,8,3,74,Low
4.6,1.9,17,2.7,5,2,48,Low
8.3,3.0,22,3.8,3,2,92,Medium
7.1,5.9,37,4.0,10,3,67,Low
5.7,3.2,20,2.6,7,1,96,Low
4.3,2.3,49,3.3,7,3,88,Low
5.6,4.0,46,2.8,1,1,98,Medium
5.6,1.8,48,0.9,9,0,42,Low
7.6,0.9,6,2.9,2,0,76,Low
7.2,1.2,59,1.0,5,3,90,Medium
8.4,1.2,39,2.7,5,3,60,Low
6.4,1.3,46,3.8,8,0,51,Low
4.6,1.3,38,3.7,8,1,72,Low
7.6,4.0,34,4.1,7,0,96,Low
7.8,1.5,59,1.0,7,3,83,Medium
6.8,2.4,17,4.1,6,0,39,Low
7.9,5.4,17,2.2,6,3,71,Medium
6.5,3.1,22,2.7,9,3,93,Low
6.6,4.2,36,5.2,6,0,50,Low
6.1,1.4,36,0.5,2,1,95,Medium
4.1,1.6,39,3.7,2,2,70,Low
4.5,0.7,43,3.8,5,0,53,Low
4.2,1.4,50,2.7,4,2,64,Low
7.2,2.0,56,1.8,2,0,85,Medium
5.6,1.5,33,1.8,3,2,59,Low
6.5,1.0,53,5.4,7,1,86,Low
8.5,1.2,33,2.9,8,1,76,Low
5.2,3.0,57,2.3,6,0,64,Low
6.1,1.6,48,3.0,5,3,48,Low
7.8,2.5,20,4.2,1,2,37,Low
5.1,3.3,60,1.3,8,3,55,Low
4.4,4.3,48,3.0,3,3,100,Medium
5.4,0.7,51,3.7,6,3,59,Low
4.8,4.9,14,5.7,3,1,36,Low
8.6,4.0,34,1.9,7,0,96,Medium
8.0,0.9,29,2.5,7,0,94,Low
7.2,5.3,43,2.6,9,1,65,Medium
8.4,5.6,24,3.8,5,1,54,Medium
8.0,0.8,9,2.5,8,0,66,Low
4.9,2.0,5,3.4,10,3,30,Low
8.5,4.9,34,4.8,10,2,44,Low
6.7,4.6,53,4.4,8,2,66,Low
8.0,1.5,7,3.0,1,2,42,Low
8.5,1.7,49,5.3,5,3,37,Low
5.6,2.5,18,3.6,3,0,34,Low
4.6,3.2,60,3.5,1,1,89,Low
5.1,3.9,34,0.7,4,0,30,Low
6.1,2.5,54,5.9,8,3,65,Low
8.1,3.0,8,1.2,3,1,64,Medium
8.3,4.6,22,1.8,10,3,95,Medium
4.0,0.7,41,0.8,2,2,92,Low
6.6,1.9,29,4.0,9,2,52,Low
6.1,4.4,52,1.7,10,3,38,Low
5.1,5.4,5,1.5,5,1,63,Medium
4.6,3.3,57,1.0,7,1,75,Low
5.7,3.4,50,1.1,2,0,33,Medium
8.7,1.1,19,3.7,9,2,59,Low
5.6,3.0,13,4.3,9,0,32,Low
6.6,3.4,19,2.7,4,0,43,Low
7.5,1.8,53,3.1,4,3,89,Medium
5.8,2.0,28,4.3,6,3,74,Low
8.9,2.6,8,0.6,10,0,63,Low
8.8,0.6,16,2.3,10,2,74,Low
5.3,2.3,41,5.9,10,3,90,Low
6.5,1.7,41,3.7,6,0,45,Low
5.5,2.3,47,1.9,1,0,95,Medium
5.4,1.2,10,3.4,9,0,69,Low
4.2,5.4,43,2.4,2,0,46,Medium
7.0,3.8,60,3.4,5,0,63,Low
6.5,4.2,50,1.2,9,0,45,Low
4.3,4.8,28,1.2,4,3,89,Medium
5.4,3.2,15,1.3,3,2,95,Medium
8.5,1.0,17,5.7,7,0,95,Low
5.2,3.5,38,4.5,6,1,42,Low
4.7,3.7,29,1.4,8,3,85,Low
6.4,4.6,11,1.5,3,3,60,Medium
8.9,2.9,56,4.5,5,0,63,Low
5.2,1.2,8,1.4,10,3,68,Low
7.4,2.1,12,1.8,4,0,96,Medium
7.8,2.5,24,5.8,4,2,37,Low
5.2,4.1,33,1.9,4,2,84,Medium
7.6,3.6,58,4.1,10,3,56,Low
5.8,2.5,57,5.9,8,3,82,Low
7.2,5.9,55,2.6,6,1,68,Medium
7.2,3.8,49,0.6,3,3,94,High
6.7,1.8,50,1.8,10,1,46,Low
4.5,1.1,14,5.1,5,2,59,Low
8.2,1.3,47,5.3,6,2,82,Low
5.6,1.9,38,4.7,5,0,42,Low
4.9,1.4,30,1.1,6,2,50,Low
4.2,1.5,45,4.9,8,1,48,Low
7.0,2.1,53,5.6,7,3,82,Low
7.4,1.5,7,3.8,5,0,48,Low
4.1,5.4,60,5.7,10,1,86,Low
6.6,0.9,10,5.0,6,3,54,Low
5.1,3.4,9,4.2,4,0,60,Low
7.2,2.8,9,3.7,9,2,84,Low
4.9,5.9,58,2.4,4,1,52,Medium
7.5,1.1,51,1.4,1,3,61,Medium
5.9,2.7,27,3.8,7,0,91,Low
8.7,5.8,53,2.2,7,0,39,Medium
4.7,5.3,13,5.3,4,2,83,Low
5.7,5.0,39,6.0,3,3,81,Low
4.6,1.9,24,4.6,8,2,49,Low
8.6,1.4,53,1.0,5,2,61,Medium
8.4,4.2,46,2.1,10,3,43,Medium
5.3,5.6,39,1.1,7,3,79,Medium
7.3,3.6,54,4.1,4,3,57,Low
8.1,3.6,22,4.7,4,1,82,Medium
6.8,2.0,21,5.6,8,3,53,Low
6.6,4.7,28,2.9,8,0,51,Low
5.2,1.5,7,5.5,2,2,59,Low
4.5,2.3,36,5.3,2,1,92,Low
8.5,2.8,39,2.2,3,3,33,Medium
8.5,3.3,42,5.3,3,1,88,Medium
7.2,1.8,17,2.6,1,3,37,Low
5.7,1.1,60,2.1,3,1,41,Low
5.7,3.9,51,4.1,6,2,60,Low
7.6,2.1,29,2.3,8,2,63,Low
8.5,3.7,13,4.0,10,0,78,Low
8.4,1.3,8,3.9,6,0,86,Low
7.9,3.1,18,3.6,5,3,55,Low
7.2,3.4,41,2.6,4,2,47,Medium
4.4,0.8,38,3.5,3,1,67,Low
4.8,2.4,15,3.8,4,1,79,Low
8.5,1.2,45,3.5,7,1,37,Low
7.0,0.8,60,2.9,1,0,70,Low
4.0,5.9,7,0.6,7,1,35,Low
4.5,2.3,32,3.7,1,0,98,Low
7.3,5.0,33,1.4,2,0,73,Medium
4.0,1.9,13,4.0,4,3,93,Low
4.8,4.2,7,4.7,1,1,58,Low
6.7,4.7,29,3.3,9,1,57,Low
7.5,3.8,38,3.5,6,2,40,Low
7.3,3.1,16,5.7,1,3,94,Medium
5.1,2.8,46,5.2,1,2,48,Low
7.6,2.4,13,5.5,6,3,38,Low
5.2,5.6,19,5.0,4,1,56,Low
5.6,5.1,44,1.1,4,0,63,Medium
7.7,5.8,29,1.3,6,0,73,Medium
7.2,1.2,9,3.4,7,0,97,Low
8.2,4.5,15,1.9,9,0,44,Low
7.3,5.7,38,3.1,10,0,80,Medium
6.8,1.5,28,2.7,5,2,42,Low
4.5,0.9,19,3.5,9,3,78,Low
5.8,4.6,42,4.6,4,1,99,Medium
5.3,3.7,12,4.4,10,2,85,Low
5.2,5.1,9,3.4,2,3,80,Medium
8.9,1.3,52,5.0,3,0,66,Low
6.0,4.9,30,2.9,1,3,46,Medium
8.5,1.6,22,5.4,6,3,87,Low
7.2,1.4,10,0.9,6,0,58,Low
8.0,1.4,41,5.8,1,0,62,Low
6.5,5.0,52,4.1,3,0,89,Medium
6.9,4.2,17,2.6,5,1,84,Medium
6.5,3.4,32,1.6,3,0,39,Low
5.0,2.5,9,3.1,10,1,76,Low
7.6,5.3,17,1.6,3,0,52,Medium
5.4,2.7,21,1.4,10,1,50,Low
4.1,5.0,54,3.9,3,3,42,Low
7.2,2.9,44,3.4,5,2,62,Low
4.9,2.6,49,4.2,5,3,53,Low
8.7,3.0,36,5.6,4,3,40,Low
8.8,2.2,33,3.4,1,0,46,Medium
8.6,4.6,55,3.7,5,1,97,Medium
5.9,3.3,7,1.0,10,2,76,Low
4.1,1.8,60,4.4,5,0,54,Low
8.6,5.4,44,2.7,4,0,50,Medium
6.1,2.6,38,5.9,6,0,41,Low
8.8,3.5,44,5.0,10,3,66,Low
8.8,5.5,31,3.4,4,1,71,Medium
8.3,3.9,17,1.2,7,1,46,Medium
5.5,1.1,49,5.2,7,2,77,Low
5.9,5.7,37,4.9,2,1,57,Medium
8.3,4.0,10,1.5,3,1,70,Medium
5.6,2.3,28,2.1,1,0,76,Low
4.8,1.3,23,4.9,8,0,47,Low
6.8,4.9,20,1.5,9,3,100,Medium
8.7,3.9,44,5.5,4,0,42,Low
7.5,3.4,32,2.8,6,0,42,Low
6.9,5.4,37,1.0,9,0,60,Medium
4.5,4.8,52,5.0,6,0,31,Low
7.1,1.3,45,2.6,9,3,45,Low
9.0,2.2,17,3.4,4,0,38,Low
4.7,1.9,47,1.1,8,2,67,Low
6.6,4.6,49,0.5,9,2,83,Medium
8.4,0.7,29,4.0,4,2,85,Low
7.7,3.6,57,3.3,5,2,74,Medium
7.5,4.7,46,3.8,8,0,63,Low
7.5,5.3,40,4.9,10,2,38,Low
5.8,2.4,31,4.1,6,0,37,Low
5.5,5.0,42,1.5,7,3,36,Low
8.0,1.1,11,2.5,3,2,65,Low
8.1,5.2,9,5.5,7,1,47,Low
8.3,1.2,47,4.7,8,2,32,Low
8.6,2.7,49,3.6,10,2,57,Low
6.6,4.9,55,1.9,6,0,99,Medium
6.5,1.3,35,2.2,10,2,73,Low
8.0,1.8,27,4.5,9,1,50,Low
7.2,4.5,46,5.2,6,0,57,Low
7.5,4.5,14,4.2,9,0,83,Low
8.0,4.0,36,5.0,4,3,83,Medium
8.5,4.3,47,4.7,8,3,94,Medium
5.7,3.5,57,1.3,4,2,50,Medium
5.9,1.9,34,2.8,2,3,42,Low
4.5,2.4,43,1.3,10,3,86,Low
6.9,1.5,35,1.8,9,3,78,Low
4.2,5.5,22,5.3,5,0,83,Low
6.3,3.7,40,3.1,4,0,39,Low
6.7,2.7,6,3.4,2,0,82,Low
5.4,3.0,18,1.5,1,3,73,Medium
7.0,5.7,17,2.2,7,0,76,Medium
4.2,1.3,33,1.8,6,3,82,Low
4.2,3.7,16,1.6,2,0,75,Low
8.1,3.3,43,4.0,8,0,42,Low
5.8,3.9,6,1.9,4,1,66,Medium
4.6,0.6,36,4.0,8,2,53,Low
6.6,5.3,17,0.8,7,3,31,Medium
7.8,5.6,50,1.3,5,1,43,Medium
5.1,3.6,31,2.0,10,0,39,Low
7.1,4.3,53,3.8,10,3,64,Low
4.4,5.6,45,4.2,8,0,54,Low
4.3,4.4,21,2.9,9,2,32,Low
6.7,1.3,44,3.0,5,1,46,Low
6.7,3.7,35,4.5,10,2,41,Low
7.2,3.8,38,0.6,5,1,83,Medium
7.6,2.8,28,2.4,2,0,53,Medium
8.9,4.6,49,5.0,5,2,58,Medium
6.6,5.6,39,3.8,3,2,72,Medium
5.6,5.6,52,2.4,7,0,54,Medium
8.0,3.0,10,5.5,10,2,89,Low
5.4,1.1,23,4.7,5,3,94,Low
6.2,5.9,34,2.0,8,1,57,Medium
4.4,5.1,11,4.0,1,1,45,Low
4.1,1.2,14,3.8,3,1,76,Low
8.8,5.6,45,2.7,3,3,87,High
8.2,5.3,36,2.5,9,1,56,Medium
7.5,3.4,38,2.4,5,0,82,Medium
6.0,3.8,32,3.9,9,2,71,Low
4.9,2.7,19,2.9,9,3,88,Low
4.8,0.8,34,5.1,1,1,76,Low
5.3,2.3,41,4.2,2,0,63,Low
6.7,4.9,33,0.9,5,2,66,Medium
7.6,0.5,26,4.0,4,2,35,Low
7.3,2.3,8,2.0,10,3,36,Low
5.4,2.7,24,3.8,9,3,54,Low
8.8,3.5,36,4.2,7,3,62,Low
7.7,5.6,40,1.8,6,0,84,Medium
6.8,2.4,54,3.0,7,0,87,Low
7.1,2.4,8,1.5,1,3,36,Medium
6.1,4.6,31,0.8,1,1,86,High
5.2,3.0,21,2.6,8,2,41,Low
5.8,1.7,16,2.5,2,2,45,Low
7.8,3.0,26,6.0,10,0,72,Low
4.1,1.3,21,3.0,9,2,36,Low
4.6,1.5,14,2.3,7,1,80,Low
4.2,3.2,58,3.7,6,2,61,Low
4.2,2.8,5,1.0,1,0,37,Low
8.3,5.5,26,5.8,1,0,74,Medium
7.5,2.5,30,4.0,2,1,88,Medium
6.4,3.7,60,4.7,6,1,33,Low
4.5,4.0,22,1.4,6,2,96,Medium
6.5,0.6,54,2.8,2,2,58,Low
6.4,4.1,18,2.8,1,0,58,Medium
4.9,1.5,51,5.0,10,1,57,Low
6.2,5.8,33,0.5,5,1,73,Medium
6.0,1.3,16,2.2,5,1,33,Low
7.1,2.8,40,5.9,2,2,38,Low
7.2,1.0,39,3.1,6,1,34,Low
4.2,6.0,56,2.6,9,0,85,Low
5.9,3.3,16,1.2,2,0,79,Medium
7.1,3.8,11,5.9,10,2,44,Low
6.5,0.9,33,0.6,2,3,61,Medium
8.3,4.6,15,4.6,3,2,57,Medium
7.3,1.7,37,4.7,7,3,51,Low
4.8,5.4,10,1.8,6,1,46,Low
4.4,1.6,51,4.2,8,2,88,Low
7.2,1.5,19,1.0,8,0,100,Low
4.1,0.7,36,1.9,6,1,86,Low
6.9,3.1,55,4.8,10,0,55,Low
8.7,3.6,15,5.3,3,1,54,Low
6.9,0.9,27,3.8,3,2,39,Low
5.9,4.8,30,3.3,1,3,74,Medium
7.2,3.0,38,1.4,7,1,40,Low
6.3,3.4,50,0.8,5,3,82,Medium
6.7,2.9,38,1.1,4,1,97,Medium
8.7,2.7,33,1.8,10,0,57,Low
5.9,3.6,8,2.4,4,0,94,Medium
8.8,1.4,21,2.6,4,1,78,Medium
8.5,1.5,39,2.4,6,3,76,Low
5.0,5.2,17,1.8,8,2,81,Medium
4.3,5.7,45,3.3,8,2,83,Low
